iter	Passed	Remaining
0	137	137710
1	142	71133
2	146	48634
3	148	36968
4	150	29916
5	152	25315
6	157	22389
7	161	19978
8	162	17925
9	164	16285
10	167	15089
11	170	14001
12	172	13059
13	174	12282
14	176	11586
15	178	10961
16	179	10407
17	182	9933
18	189	9798
19	191	9391
20	193	9018
21	195	8680
22	197	8371
23	199	8113
24	201	7850
25	203	7614
26	205	7399
27	207	7192
28	208	6993
29	210	6810
30	212	6636
31	214	6494
32	216	6347
33	218	6211
34	220	6089
35	222	5967
36	224	5849
37	227	5765
38	230	5684
39	232	5587
40	237	5557
41	239	5466
42	241	5377
43	245	5336
44	247	5252
45	250	5190
46	252	5111
47	253	5034
48	255	4962
49	258	4906
50	262	4880
51	264	4830
52	266	4768
53	268	4706
54	270	4650
55	272	4597
56	275	4558
57	278	4515
58	291	4653
59	294	4608
60	296	4557
61	298	4512
62	300	4465
63	301	4414
64	303	4365
65	305	4323
66	308	4301
67	310	4258
68	312	4216
69	314	4175
70	316	4145
71	319	4116
72	322	4089
73	324	4064
74	326	4032
75	328	3998
76	330	3964
77	333	3937
78	335	3911
79	338	3891
80	340	3862
81	342	3832
82	344	3805
83	346	3780
84	350	3769
85	352	3742
86	354	3718
87	356	3690
88	357	3662
89	359	3635
90	361	3610
91	368	3641
92	370	3615
93	372	3594
94	377	3591
95	379	3570
96	381	3549
97	383	3527
98	385	3509
99	387	3486
100	389	3464
101	391	3448
102	393	3427
103	395	3405
104	397	3385
105	399	3365
106	400	3345
107	402	3324
108	404	3303
109	405	3284
110	408	3268
111	410	3252
112	411	3233
113	413	3215
114	415	3197
115	417	3181
116	418	3162
117	421	3153
118	424	3140
119	427	3133
120	429	3117
121	430	3101
122	432	3086
123	436	3085
124	439	3074
125	442	3066
126	443	3049
127	445	3035
128	447	3019
129	448	3003
130	450	2987
131	452	2975
132	454	2962
133	456	2947
134	457	2933
135	459	2919
136	461	2904
137	462	2891
138	464	2877
139	466	2864
140	470	2866
141	472	2851
142	473	2839
143	475	2826
144	477	2814
145	479	2802
146	480	2790
147	483	2781
148	485	2770
